genre,danceability,energy,valence,popularity,loudness,tempo,total_tracks
A Capella,0.41225210084033614,0.2503126050420168,0.32872436974789915,9.302521008403362,-13.66038655462185,111.51894957983193,119
Alternative,0.5418984454280471,0.7115189031631222,0.44958966857389615,50.21342977437116,-6.540802871639857,122.53448526395336,9263
Anime,0.47209009623992837,0.6653563868621307,0.44168184870188004,24.25872873769024,-7.917801924798568,126.62915644583707,8936
Blues,0.5282318519339466,0.6061709486866896,0.5794250692674277,34.742879308434,-9.053807381137094,121.13763726033471,9023
Children's Music,0.6974754950953174,0.3968795463631316,0.6759560059226356,4.252637423653526,-11.641759948176938,121.13128780307237,5403
Children’s Music,0.5418431840051321,0.7066161017855234,0.449236822409922,54.65903988025232,-6.526668341708542,121.93110424462739,9353
Classical,0.3059580380293863,0.17798380653630078,0.21446287813310286,29.28219533275713,-21.544476879861712,104.3418066119274,9256
Comedy,0.5590382191922322,0.676093929346142,0.41276377440347073,21.342629893606034,-11.689321351100094,98.23548837929967,9681
Country,0.5770384349030471,0.6363181555863342,0.5351597876269621,46.100415512465375,-7.341692751615882,123.41441943674977,8664
Dance,0.6381911274566142,0.6980665325824618,0.5177540052867486,57.27525571773359,-6.0542414664981035,120.79591863004252,8701
Electronic,0.6195421989975471,0.7392987096086168,0.38812903913831714,38.05609469979738,-7.035867654900288,125.8459666204543,9377
Folk,0.5272760511882999,0.49173298419184863,0.440236971717389,49.94020862458329,-9.870282180879665,118.74888192278739,9299
Hip-Hop,0.7188080688542227,0.6432749696611081,0.4733806024744486,58.42313071543841,-6.860286067778375,120.79103851533083,9295
Indie,0.5668210939955989,0.5810022152362989,0.4286653358482657,54.701561353871945,-7.915142303258933,119.29081410457928,9543
Jazz,0.585637559580553,0.4727757218514988,0.5089610422624722,40.82438301027434,-11.210457366804365,111.7836577693041,9441
Movie,0.49118640789136564,0.3707030144760441,0.4478078913656162,12.174096848578017,-12.952094286446323,113.94676992057393,7806
Opera,0.2906496376811594,0.16877946485507248,0.18986442028985506,13.335628019323671,-19.339766787439615,101.8029770531401,8280
Pop,0.6402357766886853,0.6422082175580652,0.4813708395482634,66.59066695077776,-6.495422544214788,121.17584423609631,9386
R&B,0.6421246663701067,0.5642480427046263,0.45034637455516013,52.30871886120996,-7.597063723309609,116.37383385231317,8992
Rap,0.6972442590987868,0.650519551559792,0.45591824090121313,60.53379549393414,-6.669915944540728,121.10080827556325,9232
Reggae,0.6992714627750543,0.6357492962033976,0.6796654201345342,35.5893284688177,-7.5181066012997375,118.16249082202714,8771
Reggaeton,0.7312601097793211,0.7488356670774056,0.6594386580038086,37.742914752996526,-5.875960457040439,120.98750711325194,8927
Rock,0.5382921807592753,0.6836697379206212,0.5171131147540984,59.61939171699741,-7.285875431406385,122.62963006902501,9272
Ska,0.526798985801217,0.8155845945458643,0.6534721996844715,28.6123506874014,-6.1727045300878975,129.42762249267523,8874
Soul,0.6176450654637474,0.5325057432060732,0.48056247111893496,47.02783584552756,-8.866409175926945,115.32249290350974,9089
Soundtrack,0.2656161310387726,0.22110970198009536,0.1184832054737715,33.954799917064065,-19.282684221438938,104.08350901928262,9646
World,0.44331050027487634,0.5064592848818033,0.2956852446399121,35.52314458493678,-10.705818691588785,119.81907355689938,9095
